0.01	0.176
0.02	0.192
0.03	0.208
0.04	0.224
0.05	0.24
0.06	0.256
0.07	0.272
0.08	0.288
0.09	0.304
0.1	0.32
0.11	0.336
0.12	0.352
0.13	0.368
0.14	0.384
0.15	0.4
0.16	0.4
0.17	0.4
0.18	0.4
0.19	0.4
0.2	0.4
0.21	0.4
0.22	0.4
0.23	0.4
0.24	0.4
0.25	0.4
0.26	0.4
0.27	0.4
0.28	0.4
0.29	0.4
0.3	0.4
0.31	0.4
0.32	0.4
0.33	0.4
0.34	0.4
0.35	0.4
0.36	0.4
0.37	0.4
0.38	0.4
0.39	0.4
0.4	0.4
0.41	0.4
0.42	0.4
0.43	0.4
0.44	0.4
0.45	0.4
0.46	0.4
0.47	0.4
0.48	0.4
0.49	0.4
0.5	0.4
0.51	0.4
0.52	0.4
0.53	0.4
0.54	0.4
0.55	0.4
0.56	0.4
0.57	0.4
0.58	0.4
0.59	0.4
0.6	0.4
0.61	0.4
0.62	0.4
0.63	0.4
0.64	0.4
0.65	0.4
0.66	0.4
0.67	0.4
0.68	0.4
0.69	0.4
0.7	0.4
0.71	0.4
0.72	0.4
0.73	0.395
0.74	0.389
0.75	0.384
0.76	0.379
0.77	0.374
0.78	0.369
0.79	0.365
0.8	0.36
0.81	0.356
0.82	0.351
0.83	0.347
0.84	0.343
0.85	0.339
0.86	0.335
0.87	0.331
0.88	0.327
0.89	0.324
0.9	0.32
0.91	0.316
0.92	0.313
0.93	0.31
0.94	0.306
0.95	0.303
0.96	0.3
0.97	0.297
0.98	0.294
0.99	0.291
1	0.288
1.01	0.285
1.02	0.282
1.03	0.28
1.04	0.277
1.05	0.274
1.06	0.272
1.07	0.269
1.08	0.267
1.09	0.264
1.1	0.262
1.11	0.259
1.12	0.257
1.13	0.255
1.14	0.253
1.15	0.25
1.16	0.248
1.17	0.246
1.18	0.244
1.19	0.242
1.2	0.24
1.21	0.238
1.22	0.236
1.23	0.234
1.24	0.232
1.25	0.23
1.26	0.229
1.27	0.227
1.28	0.225
1.29	0.223
1.3	0.222
1.31	0.22
1.32	0.218
1.33	0.217
1.34	0.215
1.35	0.213
1.36	0.212
1.37	0.21
1.38	0.209
1.39	0.207
1.4	0.206
1.41	0.204
1.42	0.203
1.43	0.201
1.44	0.2
1.45	0.199
1.46	0.197
1.47	0.196
1.48	0.195
1.49	0.193
1.5	0.192
1.51	0.191
1.52	0.189
1.53	0.188
1.54	0.187
1.55	0.186
1.56	0.185
1.57	0.183
1.58	0.182
1.59	0.181
1.6	0.18
1.61	0.179
1.62	0.178
1.63	0.177
1.64	0.176
1.65	0.175
1.66	0.173
1.67	0.172
1.68	0.171
1.69	0.17
1.7	0.169
1.71	0.168
1.72	0.167
1.73	0.166
1.74	0.166
1.75	0.165
